seed,flat_ba,flat_oa,hier_no_tta_ba,hier_no_tta_oa,hier_tta_ba,hier_tta_oa,delta_tta_minus_flat_ba,delta_tta_minus_flat_oa,flat_peloid_recall,flat_ooid_recall,flat_broken_ooid_recall,flat_intraclast_recall,hier_no_tta_peloid_recall,hier_no_tta_ooid_recall,hier_no_tta_broken_ooid_recall,hier_no_tta_intraclast_recall,hier_tta_peloid_recall,hier_tta_ooid_recall,hier_tta_broken_ooid_recall,hier_tta_intraclast_recall
0,0.8987836438923396,0.9565217391304348,0.7183747412008281,0.7637051039697542,0.8682971014492753,0.8071833648393195,-0.030486542443064257,-0.1493383742911153,0.9760869565217392,0.8095238095238095,1.0,0.8095238095238095,0.7782608695652173,0.5714285714285714,0.6666666666666666,0.8571428571428571,0.8065217391304348,0.7142857142857143,1.0,0.9523809523809523
1,0.7234213250517598,0.9130434782608695,0.7325569358178055,0.8676748582230623,0.7812629399585921,0.8846880907372401,0.05784161490683226,-0.028355387523629427,0.941304347826087,0.7857142857142857,0.5,0.6666666666666666,0.8826086956521739,0.8333333333333334,0.5,0.7142857142857143,0.8869565217391304,0.9761904761904762,0.5,0.7619047619047619
2,0.7147774327122154,0.9224952741020794,0.8142857142857143,0.8865784499054821,0.6952639751552795,0.9017013232514177,-0.019513457556935898,-0.020793950850661713,0.9543478260869566,0.9047619047619048,0.6666666666666666,0.3333333333333333,0.9,0.8571428571428571,0.8333333333333334,0.6666666666666666,0.9239130434782609,0.8571428571428571,0.3333333333333333,0.6666666666666666
3,0.6774585921325051,0.945179584120983,0.7509575569358178,0.8638941398865785,0.7141821946169773,0.8865784499054821,0.03672360248447215,-0.05860113421550095,0.9717391304347827,0.9047619047619048,0.16666666666666666,0.6666666666666666,0.8847826086956522,0.7380952380952381,0.6666666666666666,0.7142857142857143,0.9043478260869565,0.8095238095238095,0.3333333333333333,0.8095238095238095
4,0.6412008281573499,0.9224952741020794,0.7861542443064182,0.8809073724007561,0.728234989648033,0.8733459357277883,0.0870341614906831,-0.04914933837429114,0.9695652173913043,0.7619047619047619,0.5,0.3333333333333333,0.9065217391304348,0.6904761904761905,0.8333333333333334,0.7142857142857143,0.8891304347826087,0.8571428571428571,0.5,0.6666666666666666
5,0.6736542443064182,0.9206049149338374,0.6974378881987577,0.9092627599243857,0.7288302277432712,0.9206049149338374,0.05517598343685304,0.0,0.9565217391304348,0.7380952380952381,0.3333333333333333,0.6666666666666666,0.9326086956521739,0.8571428571428571,0.3333333333333333,0.6666666666666666,0.9391304347826087,0.8809523809523809,0.3333333333333333,0.7619047619047619
6,0.6915372670807454,0.941398865784499,0.7612836438923396,0.9073724007561437,0.7726449275362319,0.9073724007561437,0.08110766045548656,-0.03402646502835538,0.9804347826086957,0.8095238095238095,0.5,0.47619047619047616,0.9260869565217391,0.8095238095238095,0.5,0.8095238095238095,0.9239130434782609,0.8095238095238095,0.5,0.8571428571428571
7,0.761335403726708,0.947069943289225,0.8337215320910973,0.8582230623818525,0.7303830227743271,0.8638941398865785,-0.030952380952380953,-0.08317580340264652,0.9739130434782609,0.9285714285714286,0.6666666666666666,0.47619047619047616,0.8586956521739131,0.9285714285714286,0.8333333333333334,0.7142857142857143,0.8739130434782608,0.9285714285714286,0.5,0.6190476190476191
8,0.6758281573498964,0.9187145557655955,0.6384316770186336,0.8695652173913043,0.6914855072463768,0.8979206049149339,0.015657349896480377,-0.020793950850661602,0.9652173913043478,0.6190476190476191,0.5,0.6190476190476191,0.9108695652173913,0.6666666666666666,0.5,0.47619047619047616,0.9326086956521739,0.7142857142857143,0.5,0.6190476190476191
9,0.8251811594202899,0.945179584120983,0.6774068322981366,0.8941398865784499,0.8403209109730849,0.9357277882797732,0.015139751552795011,-0.009451795841209809,0.967391304347826,0.8809523809523809,0.8333333333333334,0.6190476190476191,0.9239130434782609,0.7380952380952381,0.3333333333333333,0.7142857142857143,0.9565217391304348,0.8095238095238095,0.8333333333333334,0.7619047619047619
