seed,flat_ba,flat_oa,hier_ba_no_tta,hier_oa_no_tta,hier_ba_tta,hier_oa_tta,delta_hier_tta_minus_flat_ba,delta_hier_tta_minus_flat_oa
0,0.8987836438923396,0.9565217391304348,0.7183747412008281,0.7637051039697542,0.8682971014492753,0.8071833648393195,-0.030486542443064257,-0.1493383742911153
1,0.7234213250517598,0.9130434782608695,0.7325569358178055,0.8676748582230623,0.7812629399585921,0.8846880907372401,0.05784161490683226,-0.028355387523629427
2,0.7147774327122154,0.9224952741020794,0.8142857142857143,0.8865784499054821,0.6952639751552795,0.9017013232514177,-0.019513457556935898,-0.020793950850661713
3,0.6774585921325051,0.945179584120983,0.7509575569358178,0.8638941398865785,0.7141821946169773,0.8865784499054821,0.03672360248447215,-0.05860113421550095
4,0.6412008281573499,0.9224952741020794,0.7861542443064182,0.8809073724007561,0.728234989648033,0.8733459357277883,0.0870341614906831,-0.04914933837429114
5,0.6736542443064182,0.9206049149338374,0.6974378881987577,0.9092627599243857,0.7288302277432712,0.9206049149338374,0.05517598343685304,0.0
6,0.6915372670807454,0.941398865784499,0.7612836438923396,0.9073724007561437,0.7726449275362319,0.9073724007561437,0.08110766045548656,-0.03402646502835538
7,0.761335403726708,0.947069943289225,0.8337215320910973,0.8582230623818525,0.7303830227743271,0.8638941398865785,-0.030952380952380953,-0.08317580340264652
8,0.6758281573498964,0.9187145557655955,0.6384316770186336,0.8695652173913043,0.6914855072463768,0.8979206049149339,0.015657349896480377,-0.020793950850661602
9,0.8251811594202899,0.945179584120983,0.6774068322981366,0.8941398865784499,0.8403209109730849,0.9357277882797732,0.015139751552795011,-0.009451795841209809
